가수,제목,장르,가사
어반자카파,Get (Feat. Beenzino),가요 / R&B/소울,"뭘 망설여 바보같이  답답해 너의 태도 그냥 좀 해도 돼  한 번쯤 미친 사람처럼 나도 알아 나도 못 해  말하면서 어이 없어 어려워 사는 게  아무것도 내 마음대로 안 돼 [Rap] 왜 안 되는지  내게 말 좀 해줘 그만 대도 돼 세상의 잣대 남들에겐 그렇게  착하게 구는데도 왜 넌 너에게 그렇게 야박해 U gotta love urself  more than anything  and in this world 너나 나 같은 멍청이들이  아직 많이 있어 그러니까 Go get if you wanna get get if you wanna get get if you wanna get Go get if you wanna get get if you wanna get get if you wanna get 뭘 망설여 바보같이  답답해 너의 태도 그냥 좀 해도 돼  한 번쯤 미친 사람처럼 나도 알아 나도 못 해  말하면서 어이 없어 어려워 사는 게  아무것도 내 마음대로 안 돼 [Rap] 하고픈 걸 그냥 해,  정답은 없어 분명히 다 너가 그리면 돼 몇 명은  너에게 이미 그려진  지도를 쥐어 주겠지만 그걸 무시하는 게  우리에게는 지금 필요해 서울이란 무지 큰  거울 같은 데에서 나는 모조리 깨 부시려 해,  그리고 너가 필요해  어서 be my friend This is how we  live our lives 늘 오후 2시쯤에 일어나 난 모두가 출근할 때  집에 가 난 누군가는 부럽다 하겠으나  이것도 쉽진 않아 아까 말했듯  정답이 꼭 있지 않아 그니까 너도 내 말을  전부 다 믿진 않아도 돼 So just do ur thing 누가 뭐라 하든 간에  후회 없게 뭘 망설여 바보같이  답답해 너의 태도 그냥 좀 해도 돼  한 번쯤 미친 사람처럼 나도 알아 나도 못 해  말하면서 어이 없어 어려워 사는 게 아무것도 내 마음대로 안 돼 Go get if you wanna get get if you wanna get get if you wanna get Go get if you wanna get get if you wanna get get if you wanna get 뭘 망설여 바보같이  답답해 너의 태도 그냥 좀 해도 돼  한 번쯤 미친 사람처럼 나도 알아 나도 못 해  말하면서 어이 없어 어려워 사는 게  아무것도 내 마음대로 안 돼 안 망설여 바보같이  마음에 들어 나의 태도 그냥 좀 해볼게  한 번쯤 미친 사람처럼 너도 알아 너도 그래  말하는 대로 하고 있어 이렇게 사는 게  아무래도 괜찮은 것 같애"
BIGBANG (빅뱅),WE LIKE 2 PARTY,가요 / 랩/힙합,오늘도 친구들이 왔어 MAN HOW YOU BEEN WHATS UP AYE 여기 한 잔만 줄래 제일 늦게 마시는 사람 술래 그냥 섞어 마셔 CHAMPAGNE AND IF U KNOW WHAT I'M SAYIN 내 손목을 보니 시간은 금이야 불금이야 YOU DIG 우린 젊기에  후회 따윈 내일 해 조금 위험해 (AYE MAN  YOU BETTER SLOW IT DOWN) 다시 돌아오지 않을  오늘을 위해 저 하늘을 향해 건배해 WE LIKE 2 PARTY  YEAH YEAH YEAH YEAH WE LIKE 2 PARTY  머리 위에 해 뜰 때까지 WE LIKE 2 PARTY  YEAH YEAH YEAH YEAH WE LIKE 2 PARTY  서쪽에서 해 뜰 때까지 오래간만에 불장난해 지금 이 순간  나랑 같이 밖에 나갈래 시끌 시끌 분위기는 환상 겁이 없는 멋쟁이들 꽐라 여기저기 널부러진 OPUS ONE에 마무리는 달콤하게 D'yquem 너는 빼지 않지  가지 함께 천국까지 맨 정신은 반칙 우린 젊기에  후회 따윈 내일 해 조금 위험해 (AYE MAN  YOU BETTER SLOW IT DOWN) 다시 돌아오지 않을  오늘을 위해 저 하늘을 향해 건배해 WE LIKE 2 PARTY  YEAH YEAH YEAH YEAH WE LIKE 2 PARTY  머리 위에 해 뜰 때까지 WE LIKE 2 PARTY  YEAH YEAH YEAH YEAH WE LIKE 2 PARTY  서쪽에서 해 뜰 때까지 너 없인 미쳐버리겠어 DJ PLAY A LOVE SONG 나 취한 게 아냐  네가 보고 싶어 죽겠어 SO DJ PLAY A LOVE SONG WE LIKE 2 PARTY  YEAH YEAH YEAH YEAH WE LIKE 2 PARTY  머리 위에 해 뜰 때까지 WE LIKE 2 PARTY  YEAH YEAH YEAH YEAH WE LIKE 2 PARTY  서쪽에서 해 뜰 때까지
다비치,또 운다 또,가요 / 발라드,또 운다 또 울지 말라니까 내 말 좀 들어라 터진 눈물아 약한 마음아 상처 난 가슴아 나는 정말 울기 싫단다 또 운다 또 울지 말라니까 제발 그 앞에서 울지마  무슨 말만 하면 울잖아 헤어지잔 말 한 마디에  아무 말도 못하면서 사랑한다고 사랑한다고  말도 못하면서 뚝 그만 울라니까 가 제발 가 오지 말라니까 내 말 좀 들어라 나쁜 이별아 하고 싶은 말 얼마나 많은데 나는 아직 사랑하는데 가 제발 가 그는 남겨두고 제발 그 앞에서 울지마  무슨 말만 하면 울잖아 헤어지잔 말 한 마디에  아무 말도 못하면서 사랑한다고 사랑한다고  말도 못하면서 뚝 그만 울라니까 눈물 뒤로 사랑이 숨어서 그가 날 못 보잖아  그만 그만 하라니까 제발 그 앞에서 울지마 제발 그만 울고 붙잡아  그를 이별에 뺏기지마 마음속에 갇힌 그 말을  밖으로 꺼내란 말이야 사랑한다고 말하란  말이야 지금이 아니면 제발 그만해 눈물아
소유 (SOYOU) & 권정열,어깨,가요 / R&B/소울,잘 알죠 모든 게 내 맘 같지 않을 때 아무리 뒤척여도 잠은 오지를 않고 전화 속 사람들 이렇게나 많은데 연락할 누구도 곁에 없을 때 혼자만 있고 싶어도 사실 외로울 때 웃어볼 기운도 없을 때가 있죠 할 일은 쌓여서 산더미에 줄어들질 않고 자꾸 한숨만 나올 땐 기대도 돼 기대도 돼요 내게 with you you 언제든 내게 기대 쉬어도 돼요 그대 with you you 다 이해해 유난히 하루가 길게만 느껴질 때 집으로 가는 길 괜히 멀기만 하고 하고픈 이야기 정말 많았었는데 쓴 웃음 지으며 참아버렸죠 누가 툭 건드리기만 하면 금방이라도 울음이 터질 것 같을 때가 있죠 언젠간 괜찮아 질 거라고 애써 생각해도 자꾸 한숨만 나올 땐 기대도 돼 기대도 돼요 내게 with you you 언제든 내게 기대 쉬어도 돼요 그대 with you you 다 이해해 나만 이런건지 혼자 힘든건지 I know I know 잘 하고 있단 걸 그렇게 속으로만 안고있지 말고 you know you know 내가 곁에 있단 걸 기대도 돼 기대도 돼요 내게 with you you 언제든 내게 기대 쉬어도 돼요 그대 with you you 다 이해해 다 이해해 다 이해해 다 이해해
자메즈 & 앤덥 & MINO (송민호),거북선 (Feat. 팔로알토),가요 / 랩/힙합,
박경,보통연애 (Feat. 박보람),가요 / 랩/힙합,"새로운 사람, 흥미가 생기고 뻔하디 뻔한 말들을 주고받다 서로 눈치채고 있는 타이밍에 용기 내 하는 취중고백 끼워 맞추듯 취미를 공유하고 '야!'라 부르던 네가 자기가 되도 너무나 익숙한 장면 같아 반복되는 Dejavu 너도 느끼잖아 이거 좀 웃기잖아 소설 속의 발단, 전개, 위기, 절정, 결말처럼 언제나 같은 Process 딱 그 정도 뜨거웠다 식는 연애의 온도 항상 그래 왔기에 함부로 치지도 못하는 설레발 근데 이상해 좀 잘못된 듯 해 더 설레고 조급해 평소처럼 또 머물다 가는 순간의 감정일까 아님 혹시 이번엔 다를까 Baby I gotta go 나 반복의 반복이더라도 다시 제자리로 온대도 I don't give a (aye!) 날 들었다 놨다 하는 너 보통이 아닌걸 Oh boy 너의 행동 말투나 표정 이상형과는 달라도 자꾸 끌리는데 어쩌겠어 (baam!) 날 들었다 놨다 하는 너 보통이 아닌걸 I can feel it 새로운 사랑 초반의 설렘 뻔하디 뻔한 애칭도 붙여주고 온종일 붙잡고 있는 핸드폰 속엔 끊기지 않는 문자들 끼워 맞췄던 것이 좋아지고 무의식 중 자연스레 널 자기라 부르는 모습들이 어딘가 익숙해 반복되는 Dejavu 저 맞은편에서 보인 너의 모습 so beautiful 나는 분명 네가 좋은데 이상하게 걱정이 돼 내가 걱정이 돼? 그러다 사랑이 정이 돼 어떻게 사람 마음이 하루아침에 정의돼 but  이번엔 달라 좀 잘못된듯해 더 커지고 조급해 평소처럼 또 머물다 가는 순간의 감정일까 아님 혹시 (different) Baby I gotta go  나 반복의 반복이더라도 다시 제자리로 온대도 I don't give a (aye!) 날 들었다 놨다 하는 너 보통이 아닌걸 Oh boy  너의 행동 말투나 표정 이상형관 달라도 자꾸 끌리는데 어쩌겠어 (baam!) 날 들었다 놨다 하는 너 보통이 아닌걸 I can feel it Yo, I'm confused girl Hey, I'm confused boy 이런 걱정 바보 같은 거 알아 근데 사실은 말이야 이건 너 변할까 봐 혼자 먼저 하는 자기방어 같은 거야 그러니 나와 같을 거라고 말해줘 어린애같이 유치한 날 달래줘 Baby I gotta go 나 반복의 반복이더라도 다시 제자리로 온대도 I don't give a (aye!) 날 들었다 놨다 하는 너 보통이 아닌걸 Oh boy 너의 행동 말투나 표정 이상형관 달라도 자꾸 끌리는데 어쩌겠어 (baam!) 날 들었다 놨다 하는 너 보통이 아닌걸 I can feel it"
지코 (ZICO),유레카 (Feat. Zion.T),가요 / 랩/힙합,
BIGBANG (빅뱅),맨정신,가요 / 락,"제발 좀 잘난 척하지 마 알고 보면 네가 제일 불쌍해 그래 날 더 자극 시켜봐 잠깐 재미라도 볼 수 있게 돈 쫓다 권력 쫓다 명예만 쫓다 가랑이가 찢어져 자빠질 테니까 사랑 좋다 우정 좋다 말들 하지만 각오해 뒤통수가 시릴 테니까 Hey doctor doctor 날 좀 살려줘요 확 돌아버리겠으니까 어설픈 말들로 둘러대지 말고 Hear me say 맨정신이 난 힘들어 아무것도 할 수가 없어 맨정신이 난 제일 싫어 너 없인 잠들 수가 없어 시간은 더럽게 안 가고 나이만 들어 죽은 듯 살아 할 일은 더럽게 많은데 하고 싶은 건 하나도 없어 세상이 내겐 차갑고 남 시선은 따갑지 어른 같지만 어린아이 작은 키만 훌쩍 자랐지 어릴 적 낭만은 사라진 환상 내 기분은 광활한 광야 사람들은 날 이해 못 해 나도 몰래 맛 가볼래 취해라 취해 천국으로 가 깨고 나면 지옥, 얼마 못 가 난 지금 시금치 없는 뽀빠이 이런 나를 유혹하는 웃음 폭탄 Hey TAXI TAXI 날 데려가 줘요 이곳은 너무 힘드니까 며칠 동안만이라도 숨 좀 쉴 수 있게 맨정신이 난 힘들어 아무것도 할 수가 없어 맨 정신이 난 제일 싫어 너 없인 잠들 수가 없어 시간은 더럽게 안 가고 나이만 들어 죽은 듯 살아 할 일은 더럽게 많은데 하고 싶은 건 하나도 Without you 모든 게 두려워 네가 없인 깜깜한 이 밤이 차가운 세상이 난 너무 힘에 겨워 Without you 아직도 이곳에 홀로 남아 너 하나만을 믿고 이렇게 기다리는 내가 바보 같잖아 No No No 맨정신이 난 힘들어 아무것도 할 수가 없어 맨정신이 난 제일 싫어 너 없인 잠들 수가 없어"
소녀시대 (GIRLS' GENERATION),PARTY,가요 / 댄스,"Hey girls,  do you know what time it is? It must be party time  Here we go! 여긴 Summer 지금 Radio를 켜  흘러나오는 Favorite song  (Hey, turn it up)  뜨거운 리듬 이끄는 대로 Drive  눈이 부신 여름 속으로 Oh Oh  창을 넘어 온 바람을 따라  지금 Yeah Yeah  Yeah Yeah Yeah  Singing Yeah Yeah  Yeah Yeah Yeah  목소릴 높여  Louder and Louder 파도소릴 따라 달려  Here we go  We can't stop stop stop  여긴 Party time!  이대로 계속 Party time!  (It's a party) We gon rock rock rock  짜릿하게 난 (Tonight) P A R T Y, P A R T Y 레몬 소주, 난 테킬라,  넌 모히토 가자 제주, 캘리포니아,  로마까지 하얀 진주 품은 바다  멋진 파도 Finito! P A R T Y, P A R T Y We love summer  바쁘게 뛰어 온  어젠 다 잊어버리고  (Hey, turn it up)  저 푸른 하늘 정말 완벽한 걸  수면 위에 가득 물들어 Oh Oh  찬란한 여름 다 가기 전에  함께 Yeah Yeah  Yeah Yeah Yeah  Singing Yeah Yeah  Yeah Yeah Yeah 들뜬 내 맘은  Higher and Higher  어서 잔을 위로  A shot, here we go!  We can't stop stop stop  여긴 Party time!  이대로 계속 Party time!  (It's a party) We gon rock rock rock  짜릿하게 난 (Tonight) P A R T Y, P A R T Y 레몬 소주, 난 테킬라,  넌 모히토 가자 제주, 캘리포니아,  로마까지 하얀 진주 품은 바다  멋진 파도 Finito! P A R T Y, P A R T Y 우릴 부를 Sunrise  찾아와도 멈출 수 없어  계속 되는 Party time  Go on and on and on  밤새도록 We can't stop stop stop  여긴 Party time!  이대로 계속 Party time!  (It's a party) We gon rock rock rock  짜릿하게 난 (Tonight) P A R T Y, P A R T Y 레몬 소주, 난 테킬라,  넌 모히토 가자 제주, 캘리포니아,  로마까지 하얀 진주 품은 바다  멋진 파도 Finito! P A R T Y, P A R T Y Party time"
인크레더블 & 타블로 & 지누션,오빠차,가요 / 랩/힙합,오빠 차 뽑았다 널 데리러 가 Baby Let's ride (Hey) 빨리 나와 (Skkkkkrt) 어서 타 달리자 어디든 괜찮아 Baby Let's ride Let's do it All night 질리도록 말했잖아 돈 벌어서 데리러간다고 넌 그냥 몸만 오면 돼 쥐뿔 하나 없어도 날 믿어주던 사람들에게 확실히 보답해 Brake 없이 Accelerator 말년휴가처럼 달려가 제대로 신발대신 이젠 바퀴 멈출 생각 없어 아우토반이 된 앞길 풀릴 일 없게  꽉 조여 매 안전벨트 걱정 마 너 말곤 아무도 안태워 내 옆엔 아까워 우리 나이가 좀 빨라도 겁내지마 가끔 속도위반 #일탈 오빠 차 뽑았다 널 데리러 가 Baby Let's ride (Hey) 빨리 나와 (Skkkkkrt) 어서 타 달리자 어디든 괜찮아 Baby Let's ride Let's do it All night 다 태워 먼저 부모님 또 뒷바라지해준 여자친구 절대 아냐 허세나 생색 내 차엔 없거든 Airback 돈 번 다는 말은 진짜 종이 쪼가리 몇 장을 바라는 게 아냐 알아서 따라올 걸 알아 이젠 사치가 된 부모님의 걱정 한낱 소원 같은 게 아니었어 I love my car my ride 네 바퀴 달린 왕좌 U know U want it baby Shotgun it baby Strap on your seatbelt Let's ride I love my car my ride 네 바퀴 달린 천사 Zero to one hunnit baby We runnin crazy Let's make some noise 오빠 차 뽑았다 널 데리러 가 Baby Let's ride (Hey) 빨리 나와 (Skkkkkrt) 어서 타 달리자 어디든 괜찮아 Baby Let's ride Let's do it All night 운전면허 딴 적은 없어도 아끼고 안 쓰고 벌어 그 당시 전 재산 털어 십년은 넘은 아빠차를 바꿔드렸어  한 달 뒤에 주차장에 세워져  먼지 덮인 걸 보고 화냈지 아빠는 말했지 내 아들의 첫차 아까워서 어떻게 타겠니? For real 오빠 차 뽑았다 널 데리러 가 Baby Let's ride (Hey) 빨리 나와 (Skkkkkrt) 어서 타 달리자 어디든 괜찮아 Baby Let's ride  오빠 차 뽑았다 널 데리러 가 Baby Let's ride (Hey) 빨리 나와 (Skkkkkrt) 어서 타 달리자 어디든 괜찮아 Baby Let's ride Let's do it All night
